종목명,현재가,전일비,등락률,매수호가,매도호가,거래량,거래대금,전일거래량,조회일자,종목명_전처리,종목코드,매출액,영업이익,당기순이익,영업이익률,순이익률,ROE(지배주주),부채비율,당좌비율,유보율,EPS(원),PER(배),BPS(원),PBR(배),주당배당금(원),시가배당률(%),배당성향(%),시가총액,시가총액순위,상장주식수,액면가l매매단위,외국인한도주식수(A),외국인보유주식수(B),외국인소진율(B/A),투자의견l목표주가,52주최고l최저,PERlEPS(2022.03),추정PERlEPS,PBRlBPS (2022.03),배당수익률,동일업종 PER,동일업종 등락률,배당수익률l2021.12,PERlEPS(2021.12),PBRlBPS (2021.12),PERlEPS(2022.02),PBRlBPS (2022.02),배당수익률l2021.11
대봉엘에스 *,7500.0,60.0,-0.79%,7560.0,7600.0,2700.0,20.0,22241.0,2022-07-12,대봉엘에스,078140,242.0,34.0,,14.05,,,,,,271.0,27.94,,,,,,"1,041  억원",코스닥 804위,11086579,500원  l  1주,11086579,226792,2.05%,"4.00매수  l  13,000","11,850  l  6,860",13.59배  l  691원,N/A  l  N/A,"0.93배  l  10,147원",,106.06배,+0.22%,0.53%,,,,,
중앙백신 *,12200.0,100.0,-0.81%,12150.0,12300.0,532.0,7.0,13133.0,2022-07-12,중앙백신,072020,,,,,,,,,,,,,,,,,"1,210  억원",코스닥 694위,9960000,500원  l  1주,9960000,177514,1.78%,N/A  l  N/A,"18,300  l  11,200",14.75배  l  824원,N/A  l  N/A,"1.26배  l  9,657원",,106.06배,+0.27%,0.82%,,,,,
JW신약 *,3945.0,35.0,-0.88%,3980.0,4000.0,32865.0,129.0,468874.0,2022-07-12,JW신약,067290,,,,,,,,,,,,,,,,,"1,799  억원",코스닥 447위,46127437,500원  l  1주,46127437,1046179,2.27%,N/A  l  N/A,"6,250  l  3,192",81.25배  l  48원,N/A  l  N/A,"3.19배  l  1,224원",,106.06배,+0.27%,,,,,,
동구바이오제약 *,6670.0,60.0,-0.89%,6690.0,6700.0,10948.0,73.0,117072.0,2022-07-12,동구바이오제약,006620,,,,,,,,,,,,,,,,,"1,899  억원",코스닥 414위,28464992,500원  l  1주,28464992,192924,0.68%,N/A  l  N/A,"10,900  l  6,090",16.72배  l  399원,N/A  l  N/A,"1.89배  l  3,523원",,106.06배,+0.22%,1.50%,,,,,
광동제약,6410.0,60.0,-0.93%,6410.0,6450.0,2899.0,18.0,101897.0,2022-07-12,광동제약,009290,,,,,,,,,,,,,,,,,"3,365  억원",코스피 420위,52420851,"1,000원  l  1주",52420851,9862537,18.81%,N/A  l  N/A,"9,900  l  5,780",13.21배  l  486원,N/A  l  N/A,"0.52배  l  12,248원",,106.06배,+0.22%,1.56%,,,,,
대한약품 *,26500.0,250.0,-0.93%,26750.0,26850.0,2585.0,69.0,11930.0,2022-07-12,대한약품,023910,445.0,74.0,,16.63,,,,,,,,,,,,,"1,608  억원",코스닥 503위,6000000,500원  l  1주,6000000,939878,15.66%,"4.00매수  l  40,000","33,650  l  24,500","6.79배  l  3,948원",N/A  l  N/A,"0.78배  l  34,473원",,106.06배,+0.27%,1.49%,,,,,
옵티팜 *,8550.0,80.0,-0.93%,8410.0,8610.0,1297.0,11.0,25059.0,2022-07-12,옵티팜,153710,,,,,,,,,,,,,,,,,"1,256  억원",코스닥 660위,14669958,500원  l  1주,14669958,50084,0.34%,N/A  l  N/A,"17,950  l  7,950",N/A  l  -192원,N/A  l  N/A,"4.16배  l  2,057원",,106.06배,+0.27%,,,,,,
에이프로젠 H&G *,523.0,5.0,-0.95%,522.0,528.0,4801.0,3.0,117621.0,2022-07-12,에이프로젠 H&G,109960,,,,,,,,,,,,,,,,,933  억원,코스닥 882위,178695217,500원  l  1주,178695217,812798,0.45%,N/A  l  N/A,"1,130  l  470",23.73배  l  22원,N/A  l  N/A,"0.42배  l  1,248원",,106.06배,+0.22%,,,,,,
콜마비앤에이치 *,26150.0,250.0,-0.95%,26000.0,26400.0,3932.0,102.0,26818.0,2022-07-12,콜마비앤에이치,200130,1720.0,252.0,,14.65,,,,,,663.0,39.79,,,,,,"7,489  억원",코스닥 69위,29543558,500원  l  1주,29543558,593377,2.01%,"4.00매수  l  46,500","50,700  l  24,550","12.22배  l  2,075원",N/A  l  N/A,"1.93배  l  13,101원",,106.06배,+0.26%,1.52%,,,,,
대한뉴팜 *,10200.0,100.0,-0.97%,10150.0,10300.0,2542.0,26.0,45731.0,2022-07-12,대한뉴팜,054670,,,,,,,,,,,,,,,,,"1,450  억원",코스닥 570위,14354920,500원  l  1주,14354920,269418,1.88%,N/A  l  N/A,"14,400  l  9,320","6.22배  l  1,625원",N/A  l  N/A,"1.59배  l  6,369원",,106.06배,+0.22%,0.79%,,,,,
옵투스제약 *,6130.0,60.0,-0.97%,6150.0,6160.0,307.0,2.0,5599.0,2022-07-12,옵투스제약,131030,,,,,,,,,,,,,,,,,982  억원,코스닥 838위,16153162,500원  l  1주,16153162,615067,3.81%,N/A  l  N/A,"8,450  l  5,550",9.84배  l  618원,N/A  l  N/A,"0.76배  l  7,957원",,106.06배,+0.22%,1.64%,,,,,
서울제약 *,5040.0,50.0,-0.98%,5060.0,5090.0,1462.0,7.0,25298.0,2022-07-12,서울제약,018680,,,,,,,,,,,,,,,,,430  억원,코스닥 1370위,8524523,500원  l  1주,8524523,143822,1.69%,N/A  l  N/A,"12,250  l  4,100",N/A  l  -881원,N/A  l  N/A,"2.30배  l  2,198원",,106.06배,+0.22%,,,,,,
코미팜 *,7050.0,70.0,-0.98%,7130.0,7190.0,5767.0,41.0,92733.0,2022-07-12,코미팜,041960,,,,,,,,,,,,,,,,,"4,461  억원",코스닥 139위,64185876,100원  l  1주,64185876,2821477,4.40%,N/A  l  N/A,"13,050  l  6,730",N/A  l  -86원,N/A  l  N/A,"6.60배  l  1,053원",,106.06배,+0.27%,,,,,,
SK바이오팜,78400.0,800.0,-1.01%,78200.0,79000.0,4363.0,343.0,92955.0,2022-07-12,SK바이오팜,326030,538.0,-315.0,-295.0,-58.53,-54.83,,,,,-359.0,-220.57,,,,,,"6조  1,163  억원",코스피 51위,78313250,500원  l  1주,78313250,4547827,5.81%,"3.90매수  l  115,000","133,000  l  66,300","N/A  l  -1,269원","-61.00배  l  -1,290원","14.87배  l  5,251원",,106.06배,+0.26%,,,,,,
JW홀딩스,3395.0,35.0,-1.02%,3390.0,3465.0,958.0,3.0,19114.0,2022-07-12,JW홀딩스,096760,,,,,,,,,,,,,,,,,"2,381  억원",코스피 518위,70444706,500원  l  1주,70444706,1483624,2.11%,N/A  l  N/A,"4,566  l  3,069",N/A  l  -41원,N/A  l  N/A,"2.50배  l  1,352원",,106.06배,+0.22%,2.59%,,,,,
프레스티지바이오로직스 *,4365.0,45.0,-1.02%,4435.0,4495.0,5786.0,26.0,143476.0,2022-07-12,프레스티지바이오로직스,334970,,,,,,,,,,,,,,,,,"2,077  억원",코스닥 386위,47320139,500원  l  1주,47320139,9937226,21.00%,N/A  l  N/A,"17,600  l  3,955","N/A  l  -1,052원",N/A  l  N/A,"2.17배  l  2,019원",,106.06배,+0.22%,,,,,,
진바이오텍 *,4790.0,50.0,-1.03%,4815.0,4835.0,6459.0,31.0,44249.0,2022-07-12,진바이오텍,086060,,,,,,,,,,,,,,,,,403  억원,코스닥 1401위,8610587,500원  l  1주,8610587,321017,3.73%,N/A  l  N/A,"7,390  l  4,215",120.13배  l  39원,N/A  l  N/A,"0.91배  l  5,124원",,106.06배,+0.22%,,,,,,
비피도 *,8160.0,90.0,-1.09%,8250.0,8300.0,1807.0,15.0,21512.0,2022-07-12,비피도,238200,,,,,,,,,,,,,,,,,659  억원,코스닥 1143위,8180000,500원  l  1주,8180000,19877,0.24%,N/A  l  N/A,"19,900  l  7,190",N/A  l  -56원,N/A  l  N/A,"1.28배  l  6,277원",,106.06배,+0.26%,,,,,,
제일파마홀딩스,12500.0,150.0,-1.19%,12200.0,12700.0,710.0,8.0,26091.0,2022-07-12,제일파마홀딩스,002620,,,,,,,,,,,,,,,,,"1,957  억원",코스피 590위,15973355,500원  l  1주,15973355,1566679,9.81%,N/A  l  N/A,"24,750  l  10,500",N/A  l  -411원,N/A  l  N/A,"0.46배  l  26,587원",,106.06배,+0.22%,0.53%,,,,,
브릿지바이오테라퓨틱스 *,9100.0,110.0,-1.19%,9200.0,9490.0,5626.0,52.0,57841.0,2022-07-12,브릿지바이오테라퓨틱스,288330,,,,,,,,,,,,,,,,,"1,806  억원",코스닥 446위,19866425,500원  l  1주,19866425,230098,1.16%,N/A  l  N/A,"16,250  l  8,110","N/A  l  -1,586원",N/A  l  N/A,"5.31배  l  1,713원",,106.06배,+0.22%,,,,,,
동국제약 *,19400.0,250.0,-1.27%,19650.0,19700.0,3528.0,69.0,37035.0,2022-07-12,동국제약,086450,1679.0,192.0,148.0,11.46,8.82,,,,,281.0,69.98,,,,,,"8,603  억원",코스닥 56위,44460000,500원  l  1주,44460000,8202570,18.45%,"4.00매수  l  28,500","26,450  l  17,850","17.18배  l  1,126원","14.00배  l  1,387원","1.87배  l  10,332원",,106.06배,+0.26%,0.93%,,,,,
CMG제약 *,2635.0,35.0,-1.31%,2670.0,2690.0,52087.0,138.0,807354.0,2022-07-12,CMG제약,058820,,,,,,,,,,,,,,,,,"3,639  억원",코스닥 181위,138892244,500원  l  1주,138892244,9246979,6.66%,N/A  l  N/A,"5,130  l  2,330",174.67배  l  15원,N/A  l  N/A,"1.97배  l  1,333원",,106.06배,+0.26%,,,,,,
씨티씨바이오 *,8270.0,110.0,-1.31%,8330.0,8400.0,1454.0,12.0,34536.0,2022-07-12,씨티씨바이오,060590,,,,,,,,,,,,,,,,,"1,971  억원",코스닥 406위,24181020,500원  l  1주,24181020,636569,2.63%,N/A  l  N/A,"14,500  l  7,190",N/A  l  -101원,N/A  l  N/A,"2.00배  l  4,066원",,106.06배,+0.26%,,,,,,
삼성제약,3375.0,45.0,-1.32%,3435.0,3440.0,13606.0,46.0,215113.0,2022-07-12,삼성제약,001360,,,,,,,,,,,,,,,,,"2,280  억원",코스피 531위,67162079,500원  l  1주,67162079,3331615,4.96%,N/A  l  N/A,"7,930  l  3,035",N/A  l  -414원,N/A  l  N/A,"1.81배  l  1,874원",,106.06배,+0.22%,,,,,,
경동제약 *,8950.0,120.0,-1.32%,9000.0,9070.0,4807.0,43.0,99456.0,2022-07-12,경동제약,011040,,,,,,,,,,,,,,,,,"2,760  억원",코스닥 264위,30768766,500원  l  1주,30768766,1635897,5.32%,N/A  l  N/A,"17,650  l  7,960",22.48배  l  399원,N/A  l  N/A,"0.98배  l  9,179원",,106.06배,+0.26%,5.57%,,,,,
에스씨엠생명과학 *,11200.0,150.0,-1.32%,11050.0,11250.0,1084.0,12.0,48485.0,2022-07-12,에스씨엠생명과학,298060,,,,,,,,,,,,,,,,,"1,358  억원",코스닥 607위,12120570,500원  l  1주,12120570,750421,6.19%,N/A  l  N/A,"31,750  l  9,020","N/A  l  -1,743원",N/A  l  N/A,"3.42배  l  3,278원",,106.06배,+0.22%,,,,,,
제일약품,22150.0,300.0,-1.34%,22500.0,22600.0,4638.0,103.0,39045.0,2022-07-12,제일약품,271980,,,,,,,,,,,,,,,,,"3,228  억원",코스피 428위,14704872,500원  l  1주,14704872,395973,2.69%,N/A  l  N/A,"46,500  l  18,250","N/A  l  -1,025원",N/A  l  N/A,"1.96배  l  11,183원",,106.06배,+0.27%,0.30%,,,,,
에이디엠코리아 *,3285.0,45.0,-1.35%,3290.0,3320.0,17454.0,57.0,645812.0,2022-07-12,에이디엠코리아,187660,,,,,,,,,,,,,,,,,720  억원,코스닥 1071위,21836250,100원  l  1주,21836250,886751,4.06%,N/A  l  N/A,"8,330  l  2,705",49.18배  l  67원,N/A  l  N/A,"2.17배  l  1,517원",,106.06배,+0.26%,,,,,,
프롬바이오 *,9300.0,130.0,-1.38%,9480.0,9490.0,124696.0,1166.0,5946371.0,2022-07-12,프롬바이오,377220,,,,,,,,,,,,,,,,,"1,290  억원",코스닥 650위,14155000,100원  l  1주,14155000,42818,0.30%,N/A  l  N/A,"24,250  l  6,100",12.29배  l  741원,N/A  l  N/A,"1.47배  l  6,214원",,106.06배,+0.22%,,,,,,
코스맥스엔비티 *,4315.0,65.0,-1.48%,4300.0,4440.0,143.0,1.0,31491.0,2022-07-12,코스맥스엔비티,222040,,,,,,,,,,,,,,,,,870  억원,코스닥 935위,20628000,500원  l  1주,20628000,270266,1.31%,N/A  l  N/A,"11,500  l  4,045",N/A  l  -281원,N/A  l  N/A,"1.48배  l  2,856원",,106.06배,+0.27%,,,,,,
마이더스AI *,1985.0,30.0,-1.49%,2015.0,2040.0,45587.0,90.0,773306.0,2022-07-12,마이더스AI,222810,,,,,,,,,,,,,,,,,789  억원,코스닥 1007위,39330151,500원  l  1주,39330151,0,0.00%,N/A  l  N/A,"3,440  l  1,035",N/A  l  -357원,N/A  l  N/A,"1.64배  l  1,226원",,106.06배,+0.26%,,,,,,
삼천당제약 *,32700.0,500.0,-1.51%,32700.0,33050.0,9860.0,323.0,121001.0,2022-07-12,삼천당제약,000250,,,,,,,,,,,,,,,,,"7,377  억원",코스닥 74위,22768041,500원  l  1주,22768041,1582079,6.95%,N/A  l  N/A,"64,600  l  30,450",N/A  l  -460원,N/A  l  N/A,"4.07배  l  7,970원",,106.06배,+0.22%,,,,,,
메드팩토 *,26000.0,400.0,-1.52%,26400.0,26450.0,6993.0,183.0,146564.0,2022-07-12,메드팩토,235980,,,,,,,,,,,,,,,,,"5,488  억원",코스닥 109위,21065452,500원  l  1주,21065452,1516549,7.20%,"4.00매수  l  48,000","71,500  l  20,550",N/A  l  -982원,N/A  l  N/A,"9.04배  l  2,883원",,106.06배,+0.27%,,,,,,
뉴트리 *,12800.0,200.0,-1.54%,12850.0,12900.0,770.0,10.0,10888.0,2022-07-12,뉴트리,270870,,,,,,,,,,,,,,,,,"1,155  억원",코스닥 724위,9200224,500원  l  1주,9200224,239688,2.61%,N/A  l  N/A,"36,900  l  11,550","7.24배  l  1,734원",N/A  l  N/A,"1.17배  l  10,763원",,106.06배,+0.26%,1.99%,,,,,
HLB *,39850.0,650.0,-1.60%,40150.0,40200.0,113628.0,4523.0,1629752.0,2022-07-12,HLB,028300,,,,,,,,,,,,,,,,,"4조  3,662  억원",코스닥 3위,106882745,500원  l  1주,106882745,15093610,14.12%,N/A  l  N/A,"69,100  l  28,400",N/A  l  -897원,N/A  l  N/A,"10.16배  l  4,022원",,106.06배,+0.22%,,,,,,
삼아제약 *,14750.0,250.0,-1.67%,14850.0,14900.0,632.0,9.0,22887.0,2022-07-12,삼아제약,009300,,,,,,,,,,,,,,,,,943  억원,코스닥 877위,6370000,"1,000원  l  1주",6370000,203972,3.20%,N/A  l  N/A,"27,100  l  13,400","13.47배  l  1,099원",N/A  l  N/A,"0.52배  l  28,486원",,106.06배,+0.22%,1.69%,,,,,
휴온스 *,35350.0,600.0,-1.67%,35400.0,36200.0,937.0,33.0,11888.0,2022-07-12,휴온스,243070,1286.0,144.0,,11.2,,,,,,922.0,39.01,,,,,,"4,171  억원",코스닥 151위,11935549,500원  l  1주,11935549,2682982,22.48%,"4.00매수  l  64,000","59,629  l  33,400","13.64배  l  2,562원",N/A  l  N/A,"1.55배  l  22,601원",,106.06배,+0.26%,1.56%,,,,,
한국파마 *,27500.0,500.0,-1.79%,27800.0,27950.0,33934.0,933.0,753089.0,2022-07-12,한국파마,032300,,,,,,,,,,,,,,,,,"3,714  억원",코스닥 172위,10906701,500원  l  1주,10906701,120218,1.10%,N/A  l  N/A,"85,500  l  20,700",61.57배  l  553원,N/A  l  N/A,"6.47배  l  5,264원",,106.06배,+0.22%,0.15%,,,,,
박셀바이오 *,40900.0,800.0,-1.92%,40650.0,40700.0,14319.0,588.0,243100.0,2022-07-12,박셀바이오,323990,,,,,,,,,,,,,,,,,"6,295  억원",코스닥 89위,15223000,500원  l  1주,15223000,638167,4.19%,N/A  l  N/A,"102,700  l  31,750",N/A  l  -373원,N/A  l  N/A,"22.16배  l  1,866원",,106.06배,+0.22%,,,,,,
파마리서치 *,64200.0,1300.0,-1.98%,65500.0,67400.0,3949.0,255.0,59295.0,2022-07-12,파마리서치,214450,460.0,154.0,131.0,33.57,28.58,,,,,1256.0,52.15,,,,,,"6,371  억원",코스닥 86위,10111930,500원  l  1주,10111930,1182368,11.69%,"4.00매수  l  110,000","101,700  l  64,200","14.56배  l  4,327원","12.00배  l  5,058원","2.04배  l  30,893원",,106.06배,+0.22%,0.95%,,,,,
큐라클 *,18800.0,400.0,-2.08%,19300.0,19350.0,12259.0,232.0,176705.0,2022-07-12,큐라클,365270,,,,,,,,,,,,,,,,,"2,565  억원",코스닥 299위,13789968,500원  l  1주,13789968,66619,0.48%,N/A  l  N/A,"62,400  l  11,850",,N/A  l  N/A,,,106.06배,+0.26%,,N/A  l  -541원,"4.79배  l  3,886원",,,
고려제약 *,7510.0,160.0,-2.09%,7670.0,7690.0,6957.0,52.0,23854.0,2022-07-12,고려제약,014570,,,,,,,,,,,,,,,,,840  억원,코스닥 962위,11000000,500원  l  1주,11000000,133886,1.22%,N/A  l  N/A,"11,900  l  6,680",8.90배  l  858원,N/A  l  N/A,"1.06배  l  7,202원",,106.06배,+0.22%,2.22%,,,,,
바이젠셀 *,9780.0,210.0,-2.10%,9780.0,9790.0,31630.0,311.0,1630759.0,2022-07-12,바이젠셀,308080,,,,,,,,,,,,,,,,,"1,817  억원",코스닥 439위,19006060,500원  l  1주,19006060,83405,0.44%,N/A  l  N/A,"39,080  l  8,500",,N/A  l  N/A,,,106.06배,+0.22%,,N/A  l  -697원,"1.78배  l  5,370원",,,
HLB생명과학 *,12650.0,300.0,-2.32%,12500.0,12550.0,108971.0,1385.0,1517569.0,2022-07-12,HLB생명과학,067630,,,,,,,,,,,,,,,,,"1조  2,272  억원",코스닥 30위,95498081,500원  l  1주,95498081,6104683,6.39%,N/A  l  N/A,"23,000  l  9,310",N/A  l  -465원,N/A  l  N/A,"5.21배  l  2,467원",,106.06배,+0.27%,,,,,,
비씨월드제약 *,10100.0,250.0,-2.42%,10350.0,10400.0,3275.0,34.0,14875.0,2022-07-12,비씨월드제약,200780,,,,,,,,,,,,,,,,,907  억원,코스닥 905위,8892384,200원  l  1주,8892384,184064,2.07%,N/A  l  N/A,"23,050  l  8,950",36.30배  l  281원,N/A  l  N/A,"0.84배  l  12,164원",,106.06배,+0.27%,0.98%,,,,,
녹십자홀딩스2우,55600.0,1400.0,-2.46%,54500.0,56900.0,175.0,9.0,1791.0,2022-07-12,녹십자홀딩스2우,005257,,,,,,,,,,,,,,,,,463  억원,코스피 1042위,845990,500원  l  1주,845990,1466,0.17%,N/A  l  N/A,"100,000  l  38,000",67.61배  l  809원,N/A  l  N/A,"2.46배  l  22,231원",,106.06배,+0.22%,0.73%,,,,,
휴럼 *,1185.0,30.0,-2.47%,1225.0,1230.0,3515.0,4.0,182076.0,2022-07-12,휴럼,353190,,,,,,,,,,,,,,,,,447  억원,코스닥 1356위,38380420,100원  l  1주,38380420,227303,0.59%,N/A  l  N/A,"3,130  l  1,050",,N/A  l  N/A,,,106.06배,+0.22%,,N/A  l  -216원,1.28배  l  912원,,,
드림씨아이에스 *,13100.0,350.0,-2.60%,13350.0,13450.0,4087.0,54.0,30933.0,2022-07-12,드림씨아이에스,223250,,,,,,,,,,,,,,,,,764  억원,코스닥 1037위,5925720,500원  l  1주,5925720,35407,0.60%,N/A  l  N/A,"20,000  l  9,850",25.24배  l  511원,N/A  l  N/A,"1.79배  l  7,203원",,106.06배,+0.26%,,,,,,
바이온 *,1270.0,35.0,-2.68%,1300.0,1305.0,12332.0,16.0,56008.0,2022-07-12,바이온,032980,,,,,,,,,,,,,,,,,429  억원,코스닥 1372위,34293780,500원  l  1주,34293780,593351,1.73%,N/A  l  N/A,"3,711  l  1,170",N/A  l  -401원,N/A  l  N/A,1.29배  l  966원,,106.06배,+0.22%,,,,,,
네오이뮨텍 *,4280.0,125.0,-2.84%,4350.0,4405.0,71521.0,307.0,526526.0,2022-07-12,네오이뮨텍,950220,,,,,,,,,,,,,,,,,"4,266  억원",코스닥 147위,98741510,,98741510,9025164,9.14%,N/A  l  N/A,"12,750  l  3,610",N/A  l  -568원,N/A  l  N/A,"2.79배  l  1,550원",,106.06배,+0.22%,,,,,,
우진비앤지 *,2095.0,65.0,-3.01%,2140.0,2155.0,53924.0,113.0,709327.0,2022-07-12,우진비앤지,018620,,,,,,,,,,,,,,,,,611  억원,코스닥 1189위,28889293,500원  l  1주,28889293,459900,1.59%,N/A  l  N/A,"3,515  l  1,760",N/A  l  -29원,N/A  l  N/A,"1.99배  l  1,062원",,106.06배,+0.22%,,,,,,
HLB테라퓨틱스 *,12400.0,400.0,-3.12%,12750.0,12800.0,64406.0,799.0,499045.0,2022-07-12,HLB테라퓨틱스,115450,,,,,,,,,,,,,,,,,"4,042  억원",코스닥 158위,31335211,500원  l  1주,31335211,1545014,4.93%,N/A  l  N/A,"19,300  l  7,450",N/A  l  -582원,N/A  l  N/A,"3.36배  l  3,845원",,106.06배,+0.22%,,,,,,
더블유에스아이 *,1975.0,65.0,-3.19%,2015.0,2040.0,2316.0,5.0,36240.0,2022-07-12,더블유에스아이,299170,,,,,,,,,,,,,,,,,595  억원,코스닥 1206위,30027963,100원  l  1주,30027963,87168,0.29%,N/A  l  N/A,"3,470  l  1,675",8.57배  l  231원,N/A  l  N/A,"1.74배  l  1,137원",,106.06배,+0.26%,,,,,,
엔지켐생명과학 *,17700.0,650.0,-3.54%,17950.0,18250.0,9839.0,176.0,134865.0,2022-07-12,엔지켐생명과학,183490,,,,,,,,,,,,,,,,,"2,494  억원",코스닥 306위,13933768,500원  l  1주,13933768,1482469,10.64%,N/A  l  N/A,"92,426  l  14,850","N/A  l  -2,408원",N/A  l  N/A,"1.14배  l  15,762원",,106.06배,+0.22%,,,,,,
HLB제약 *,14500.0,650.0,-4.29%,14750.0,14800.0,66838.0,979.0,557586.0,2022-07-12,HLB제약,047920,,,,,,,,,,,,,,,,,"4,107  억원",코스닥 154위,27564264,500원  l  1주,27564264,132391,0.48%,N/A  l  N/A,"30,200  l  7,860",N/A  l  -550원,N/A  l  N/A,"5.08배  l  2,932원",,106.06배,+0.22%,,,,,,
