종목명,현재가,전일비,등락률,매수호가,매도호가,거래량,거래대금,전일거래량,조회일자,종목코드,매출액,영업이익,당기순이익,영업이익률,순이익률,상장주식수,외국인한도주식수(A),외국인보유주식수(B),외국인소진율(B/A),동일업종 PER,동일업종 등락률,코스피/코스닥,시가총액(억원),시가총액순위(전처리),52주최고,52주최저,52주차액,52주차액비율,현재-최고가,현재/최고가비율,목표주가,투자의견,매수매도,PBR,PPS,BPS,PER(배),EPS(원),PBR(배),BPS(원),배당수익률(%)
대봉엘에스 *,7500.0,60.0,-0.79%,7560.0,7600.0,2700.0,20.0,22241.0,2022-07-12,078140,242.0,34.0,,14.05,,11086579,11086579,226792,2.05%,106.06,+0.22%,코스닥,1041,804,11850,6860,4990,1.727405247813411,-4350.0,0.6329113924050633,13000.0,4.0,매수,0.93배 ," 10,147원"," 10,147원",13.59,691.0,0.93,10147.0,0.53
중앙백신 *,12200.0,100.0,-0.81%,12150.0,12300.0,532.0,7.0,13133.0,2022-07-12,072020,,,,,,9960000,9960000,177514,1.78%,106.06,+0.27%,코스닥,1210,694,18300,11200,7100,1.6339285714285714,-6100.0,0.6666666666666666,,,,1.26배 ," 9,657원"," 9,657원",14.75,824.0,1.26,9657.0,0.82
JW신약 *,3945.0,35.0,-0.88%,3980.0,4000.0,32865.0,129.0,468874.0,2022-07-12,067290,,,,,,46127437,46127437,1046179,2.27%,106.06,+0.27%,코스닥,1799,447,6250,3192,3058,1.9580200501253133,-2305.0,0.6312,,,,3.19배 ," 1,224원"," 1,224원",81.25,48.0,3.19,1224.0,
동구바이오제약 *,6670.0,60.0,-0.89%,6690.0,6700.0,10948.0,73.0,117072.0,2022-07-12,006620,,,,,,28464992,28464992,192924,0.68%,106.06,+0.22%,코스닥,1899,414,10900,6090,4810,1.7898193760262726,-4230.0,0.6119266055045871,,,,1.89배 ," 3,523원"," 3,523원",16.72,399.0,1.89,3523.0,1.5
광동제약,6410.0,60.0,-0.93%,6410.0,6450.0,2899.0,18.0,101897.0,2022-07-12,009290,,,,,,52420851,52420851,9862537,18.81%,106.06,+0.22%,코스피,3365,420,9900,5780,4120,1.71280276816609,-3490.0,0.6474747474747474,,,,0.52배 ," 12,248원"," 12,248원",13.21,486.0,0.52,12248.0,1.56
대한약품 *,26500.0,250.0,-0.93%,26750.0,26850.0,2585.0,69.0,11930.0,2022-07-12,023910,445.0,74.0,,16.63,,6000000,6000000,939878,15.66%,106.06,+0.27%,코스닥,1608,503,33650,24500,9150,1.373469387755102,-7150.0,0.787518573551263,40000.0,4.0,매수,0.78배 ," 34,473원"," 34,473원",6.79,3948.0,0.78,34473.0,1.49
옵티팜 *,8550.0,80.0,-0.93%,8410.0,8610.0,1297.0,11.0,25059.0,2022-07-12,153710,,,,,,14669958,14669958,50084,0.34%,106.06,+0.27%,코스닥,1256,660,17950,7950,10000,2.257861635220126,-9400.0,0.4763231197771588,,,,4.16배 ," 2,057원"," 2,057원",,-192.0,4.16,2057.0,
에이프로젠 H&G *,523.0,5.0,-0.95%,522.0,528.0,4801.0,3.0,117621.0,2022-07-12,109960,,,,,,178695217,178695217,812798,0.45%,106.06,+0.22%,코스닥,933,882,1130,470,660,2.404255319148936,-607.0,0.46283185840707963,,,,0.42배 ," 1,248원"," 1,248원",23.73,22.0,0.42,1248.0,
콜마비앤에이치 *,26150.0,250.0,-0.95%,26000.0,26400.0,3932.0,102.0,26818.0,2022-07-12,200130,1720.0,252.0,,14.65,,29543558,29543558,593377,2.01%,106.06,+0.26%,코스닥,7489,69,50700,24550,26150,2.065173116089613,-24550.0,0.5157790927021696,46500.0,4.0,매수,1.93배 ," 13,101원"," 13,101원",12.22,2075.0,1.93,13101.0,1.52
대한뉴팜 *,10200.0,100.0,-0.97%,10150.0,10300.0,2542.0,26.0,45731.0,2022-07-12,054670,,,,,,14354920,14354920,269418,1.88%,106.06,+0.22%,코스닥,1450,570,14400,9320,5080,1.5450643776824033,-4200.0,0.7083333333333334,,,,1.59배 ," 6,369원"," 6,369원",6.22,1625.0,1.59,6369.0,0.79
옵투스제약 *,6130.0,60.0,-0.97%,6150.0,6160.0,307.0,2.0,5599.0,2022-07-12,131030,,,,,,16153162,16153162,615067,3.81%,106.06,+0.22%,코스닥,982,838,8450,5550,2900,1.5225225225225225,-2320.0,0.7254437869822485,,,,0.76배 ," 7,957원"," 7,957원",9.84,618.0,0.76,7957.0,1.64
서울제약 *,5040.0,50.0,-0.98%,5060.0,5090.0,1462.0,7.0,25298.0,2022-07-12,018680,,,,,,8524523,8524523,143822,1.69%,106.06,+0.22%,코스닥,430,1370,12250,4100,8150,2.9878048780487805,-7210.0,0.4114285714285714,,,,2.30배 ," 2,198원"," 2,198원",,-881.0,2.3,2198.0,
코미팜 *,7050.0,70.0,-0.98%,7130.0,7190.0,5767.0,41.0,92733.0,2022-07-12,041960,,,,,,64185876,64185876,2821477,4.40%,106.06,+0.27%,코스닥,4461,139,13050,6730,6320,1.9390787518573551,-6000.0,0.5402298850574713,,,,6.60배 ," 1,053원"," 1,053원",,-86.0,6.6,1053.0,
SK바이오팜,78400.0,800.0,-1.01%,78200.0,79000.0,4363.0,343.0,92955.0,2022-07-12,326030,538.0,-315.0,-295.0,-58.53,-54.83,78313250,78313250,4547827,5.81%,106.06,+0.26%,코스피,61163,51,133000,66300,66700,2.0060331825037707,-54600.0,0.5894736842105263,115000.0,3.9,매수,14.87배 ," 5,251원"," 5,251원",,-1269.0,14.87,5251.0,
JW홀딩스,3395.0,35.0,-1.02%,3390.0,3465.0,958.0,3.0,19114.0,2022-07-12,096760,,,,,,70444706,70444706,1483624,2.11%,106.06,+0.22%,코스피,2381,518,4566,3069,1497,1.487781036168133,-1171.0,0.743539202803329,,,,2.50배 ," 1,352원"," 1,352원",,-41.0,2.5,1352.0,2.59
프레스티지바이오로직스 *,4365.0,45.0,-1.02%,4435.0,4495.0,5786.0,26.0,143476.0,2022-07-12,334970,,,,,,47320139,47320139,9937226,21.00%,106.06,+0.22%,코스닥,2077,386,17600,3955,13645,4.450063211125158,-13235.0,0.24801136363636364,,,,2.17배 ," 2,019원"," 2,019원",,-1052.0,2.17,2019.0,
진바이오텍 *,4790.0,50.0,-1.03%,4815.0,4835.0,6459.0,31.0,44249.0,2022-07-12,086060,,,,,,8610587,8610587,321017,3.73%,106.06,+0.22%,코스닥,403,1401,7390,4215,3175,1.753262158956109,-2600.0,0.6481732070365359,,,,0.91배 ," 5,124원"," 5,124원",120.13,39.0,0.91,5124.0,
비피도 *,8160.0,90.0,-1.09%,8250.0,8300.0,1807.0,15.0,21512.0,2022-07-12,238200,,,,,,8180000,8180000,19877,0.24%,106.06,+0.26%,코스닥,659,1143,19900,7190,12710,2.767732962447844,-11740.0,0.4100502512562814,,,,1.28배 ," 6,277원"," 6,277원",,-56.0,1.28,6277.0,
제일파마홀딩스,12500.0,150.0,-1.19%,12200.0,12700.0,710.0,8.0,26091.0,2022-07-12,002620,,,,,,15973355,15973355,1566679,9.81%,106.06,+0.22%,코스피,1957,590,24750,10500,14250,2.357142857142857,-12250.0,0.5050505050505051,,,,0.46배 ," 26,587원"," 26,587원",,-411.0,0.46,26587.0,0.53
브릿지바이오테라퓨틱스 *,9100.0,110.0,-1.19%,9200.0,9490.0,5626.0,52.0,57841.0,2022-07-12,288330,,,,,,19866425,19866425,230098,1.16%,106.06,+0.22%,코스닥,1806,446,16250,8110,8140,2.003699136868064,-7150.0,0.56,,,,5.31배 ," 1,713원"," 1,713원",,-1586.0,5.31,1713.0,
동국제약 *,19400.0,250.0,-1.27%,19650.0,19700.0,3528.0,69.0,37035.0,2022-07-12,086450,1679.0,192.0,148.0,11.46,8.82,44460000,44460000,8202570,18.45%,106.06,+0.26%,코스닥,8603,56,26450,17850,8600,1.4817927170868348,-7050.0,0.7334593572778828,28500.0,4.0,매수,1.87배 ," 10,332원"," 10,332원",17.18,1126.0,1.87,10332.0,0.93
CMG제약 *,2635.0,35.0,-1.31%,2670.0,2690.0,52087.0,138.0,807354.0,2022-07-12,058820,,,,,,138892244,138892244,9246979,6.66%,106.06,+0.26%,코스닥,3639,181,5130,2330,2800,2.2017167381974247,-2495.0,0.51364522417154,,,,1.97배 ," 1,333원"," 1,333원",174.67,15.0,1.97,1333.0,
씨티씨바이오 *,8270.0,110.0,-1.31%,8330.0,8400.0,1454.0,12.0,34536.0,2022-07-12,060590,,,,,,24181020,24181020,636569,2.63%,106.06,+0.26%,코스닥,1971,406,14500,7190,7310,2.0166898470097356,-6230.0,0.5703448275862069,,,,2.00배 ," 4,066원"," 4,066원",,-101.0,2.0,4066.0,
삼성제약,3375.0,45.0,-1.32%,3435.0,3440.0,13606.0,46.0,215113.0,2022-07-12,001360,,,,,,67162079,67162079,3331615,4.96%,106.06,+0.22%,코스피,2280,531,7930,3035,4895,2.612850082372323,-4555.0,0.4255989911727617,,,,1.81배 ," 1,874원"," 1,874원",,-414.0,1.81,1874.0,
경동제약 *,8950.0,120.0,-1.32%,9000.0,9070.0,4807.0,43.0,99456.0,2022-07-12,011040,,,,,,30768766,30768766,1635897,5.32%,106.06,+0.26%,코스닥,2760,264,17650,7960,9690,2.2173366834170856,-8700.0,0.5070821529745042,,,,0.98배 ," 9,179원"," 9,179원",22.48,399.0,0.98,9179.0,5.57
에스씨엠생명과학 *,11200.0,150.0,-1.32%,11050.0,11250.0,1084.0,12.0,48485.0,2022-07-12,298060,,,,,,12120570,12120570,750421,6.19%,106.06,+0.22%,코스닥,1358,607,31750,9020,22730,3.5199556541019956,-20550.0,0.352755905511811,,,,3.42배 ," 3,278원"," 3,278원",,-1743.0,3.42,3278.0,
제일약품,22150.0,300.0,-1.34%,22500.0,22600.0,4638.0,103.0,39045.0,2022-07-12,271980,,,,,,14704872,14704872,395973,2.69%,106.06,+0.27%,코스피,3228,428,46500,18250,28250,2.547945205479452,-24350.0,0.47634408602150535,,,,1.96배 ," 11,183원"," 11,183원",,-1025.0,1.96,11183.0,0.3
에이디엠코리아 *,3285.0,45.0,-1.35%,3290.0,3320.0,17454.0,57.0,645812.0,2022-07-12,187660,,,,,,21836250,21836250,886751,4.06%,106.06,+0.26%,코스닥,720,1071,8330,2705,5625,3.0794824399260627,-5045.0,0.3943577430972389,,,,2.17배 ," 1,517원"," 1,517원",49.18,67.0,2.17,1517.0,
프롬바이오 *,9300.0,130.0,-1.38%,9480.0,9490.0,124696.0,1166.0,5946371.0,2022-07-12,377220,,,,,,14155000,14155000,42818,0.30%,106.06,+0.22%,코스닥,1290,650,24250,6100,18150,3.9754098360655736,-14950.0,0.3835051546391753,,,,1.47배 ," 6,214원"," 6,214원",12.29,741.0,1.47,6214.0,
코스맥스엔비티 *,4315.0,65.0,-1.48%,4300.0,4440.0,143.0,1.0,31491.0,2022-07-12,222040,,,,,,20628000,20628000,270266,1.31%,106.06,+0.27%,코스닥,870,935,11500,4045,7455,2.8430160692212607,-7185.0,0.37521739130434784,,,,1.48배 ," 2,856원"," 2,856원",,-281.0,1.48,2856.0,
마이더스AI *,1985.0,30.0,-1.49%,2015.0,2040.0,45587.0,90.0,773306.0,2022-07-12,222810,,,,,,39330151,39330151,0,0.00%,106.06,+0.26%,코스닥,789,1007,3440,1035,2405,3.323671497584541,-1455.0,0.5770348837209303,,,,1.64배 ," 1,226원"," 1,226원",,-357.0,1.64,1226.0,
삼천당제약 *,32700.0,500.0,-1.51%,32700.0,33050.0,9860.0,323.0,121001.0,2022-07-12,000250,,,,,,22768041,22768041,1582079,6.95%,106.06,+0.22%,코스닥,7377,74,64600,30450,34150,2.1215106732348112,-31900.0,0.5061919504643962,,,,4.07배 ," 7,970원"," 7,970원",,-460.0,4.07,7970.0,
메드팩토 *,26000.0,400.0,-1.52%,26400.0,26450.0,6993.0,183.0,146564.0,2022-07-12,235980,,,,,,21065452,21065452,1516549,7.20%,106.06,+0.27%,코스닥,5488,109,71500,20550,50950,3.4793187347931873,-45500.0,0.36363636363636365,48000.0,4.0,매수,9.04배 ," 2,883원"," 2,883원",,-982.0,9.04,2883.0,
뉴트리 *,12800.0,200.0,-1.54%,12850.0,12900.0,770.0,10.0,10888.0,2022-07-12,270870,,,,,,9200224,9200224,239688,2.61%,106.06,+0.26%,코스닥,1155,724,36900,11550,25350,3.1948051948051948,-24100.0,0.34688346883468835,,,,1.17배 ," 10,763원"," 10,763원",7.24,1734.0,1.17,10763.0,1.99
HLB *,39850.0,650.0,-1.60%,40150.0,40200.0,113628.0,4523.0,1629752.0,2022-07-12,028300,,,,,,106882745,106882745,15093610,14.12%,106.06,+0.22%,코스닥,43662,3,69100,28400,40700,2.433098591549296,-29250.0,0.5767004341534009,,,,10.16배 ," 4,022원"," 4,022원",,-897.0,10.16,4022.0,
삼아제약 *,14750.0,250.0,-1.67%,14850.0,14900.0,632.0,9.0,22887.0,2022-07-12,009300,,,,,,6370000,6370000,203972,3.20%,106.06,+0.22%,코스닥,943,877,27100,13400,13700,2.0223880597014925,-12350.0,0.544280442804428,,,,0.52배 ," 28,486원"," 28,486원",13.47,1099.0,0.52,28486.0,1.69
휴온스 *,35350.0,600.0,-1.67%,35400.0,36200.0,937.0,33.0,11888.0,2022-07-12,243070,1286.0,144.0,,11.2,,11935549,11935549,2682982,22.48%,106.06,+0.26%,코스닥,4171,151,59629,33400,26229,1.7852994011976049,-24279.0,0.5928323466769525,64000.0,4.0,매수,1.55배 ," 22,601원"," 22,601원",13.64,2562.0,1.55,22601.0,1.56
한국파마 *,27500.0,500.0,-1.79%,27800.0,27950.0,33934.0,933.0,753089.0,2022-07-12,032300,,,,,,10906701,10906701,120218,1.10%,106.06,+0.22%,코스닥,3714,172,85500,20700,64800,4.130434782608695,-58000.0,0.3216374269005848,,,,6.47배 ," 5,264원"," 5,264원",61.57,553.0,6.47,5264.0,0.15
박셀바이오 *,40900.0,800.0,-1.92%,40650.0,40700.0,14319.0,588.0,243100.0,2022-07-12,323990,,,,,,15223000,15223000,638167,4.19%,106.06,+0.22%,코스닥,6295,89,102700,31750,70950,3.234645669291339,-61800.0,0.39824732229795523,,,,22.16배 ," 1,866원"," 1,866원",,-373.0,22.16,1866.0,
파마리서치 *,64200.0,1300.0,-1.98%,65500.0,67400.0,3949.0,255.0,59295.0,2022-07-12,214450,460.0,154.0,131.0,33.57,28.58,10111930,10111930,1182368,11.69%,106.06,+0.22%,코스닥,6371,86,101700,64200,37500,1.5841121495327102,-37500.0,0.6312684365781711,110000.0,4.0,매수,2.04배 ," 30,893원"," 30,893원",14.56,4327.0,2.04,30893.0,0.95
큐라클 *,18800.0,400.0,-2.08%,19300.0,19350.0,12259.0,232.0,176705.0,2022-07-12,365270,,,,,,13789968,13789968,66619,0.48%,106.06,+0.26%,코스닥,2565,299,62400,11850,50550,5.265822784810126,-43600.0,0.30128205128205127,,,,,,,,-541.0,4.79,3886.0,
고려제약 *,7510.0,160.0,-2.09%,7670.0,7690.0,6957.0,52.0,23854.0,2022-07-12,014570,,,,,,11000000,11000000,133886,1.22%,106.06,+0.22%,코스닥,840,962,11900,6680,5220,1.781437125748503,-4390.0,0.6310924369747899,,,,1.06배 ," 7,202원"," 7,202원",8.9,858.0,1.06,7202.0,2.22
바이젠셀 *,9780.0,210.0,-2.10%,9780.0,9790.0,31630.0,311.0,1630759.0,2022-07-12,308080,,,,,,19006060,19006060,83405,0.44%,106.06,+0.22%,코스닥,1817,439,39080,8500,30580,4.597647058823529,-29300.0,0.2502558853633572,,,,,,,,-697.0,1.78,5370.0,
HLB생명과학 *,12650.0,300.0,-2.32%,12500.0,12550.0,108971.0,1385.0,1517569.0,2022-07-12,067630,,,,,,95498081,95498081,6104683,6.39%,106.06,+0.27%,코스닥,12272,30,23000,9310,13690,2.4704618689581097,-10350.0,0.55,,,,5.21배 ," 2,467원"," 2,467원",,-465.0,5.21,2467.0,
비씨월드제약 *,10100.0,250.0,-2.42%,10350.0,10400.0,3275.0,34.0,14875.0,2022-07-12,200780,,,,,,8892384,8892384,184064,2.07%,106.06,+0.27%,코스닥,907,905,23050,8950,14100,2.5754189944134076,-12950.0,0.43817787418655096,,,,0.84배 ," 12,164원"," 12,164원",36.3,281.0,0.84,12164.0,0.98
녹십자홀딩스2우,55600.0,1400.0,-2.46%,54500.0,56900.0,175.0,9.0,1791.0,2022-07-12,005257,,,,,,845990,845990,1466,0.17%,106.06,+0.22%,코스피,463,1042,100000,38000,62000,2.6315789473684212,-44400.0,0.556,,,,2.46배 ," 22,231원"," 22,231원",67.61,809.0,2.46,22231.0,0.73
휴럼 *,1185.0,30.0,-2.47%,1225.0,1230.0,3515.0,4.0,182076.0,2022-07-12,353190,,,,,,38380420,38380420,227303,0.59%,106.06,+0.22%,코스닥,447,1356,3130,1050,2080,2.980952380952381,-1945.0,0.37859424920127793,,,,,,,,-216.0,1.28,912.0,
드림씨아이에스 *,13100.0,350.0,-2.60%,13350.0,13450.0,4087.0,54.0,30933.0,2022-07-12,223250,,,,,,5925720,5925720,35407,0.60%,106.06,+0.26%,코스닥,764,1037,20000,9850,10150,2.030456852791878,-6900.0,0.655,,,,1.79배 ," 7,203원"," 7,203원",25.24,511.0,1.79,7203.0,
바이온 *,1270.0,35.0,-2.68%,1300.0,1305.0,12332.0,16.0,56008.0,2022-07-12,032980,,,,,,34293780,34293780,593351,1.73%,106.06,+0.22%,코스닥,429,1372,3711,1170,2541,3.1717948717948716,-2441.0,0.342225815144166,,,,1.29배 , 966원, 966원,,-401.0,1.29,966.0,
네오이뮨텍 *,4280.0,125.0,-2.84%,4350.0,4405.0,71521.0,307.0,526526.0,2022-07-12,950220,,,,,,98741510,98741510,9025164,9.14%,106.06,+0.22%,코스닥,4266,147,12750,3610,9140,3.53185595567867,-8470.0,0.33568627450980393,,,,2.79배 ," 1,550원"," 1,550원",,-568.0,2.79,1550.0,
우진비앤지 *,2095.0,65.0,-3.01%,2140.0,2155.0,53924.0,113.0,709327.0,2022-07-12,018620,,,,,,28889293,28889293,459900,1.59%,106.06,+0.22%,코스닥,611,1189,3515,1760,1755,1.9971590909090908,-1420.0,0.5960170697012802,,,,1.99배 ," 1,062원"," 1,062원",,-29.0,1.99,1062.0,
HLB테라퓨틱스 *,12400.0,400.0,-3.12%,12750.0,12800.0,64406.0,799.0,499045.0,2022-07-12,115450,,,,,,31335211,31335211,1545014,4.93%,106.06,+0.22%,코스닥,4042,158,19300,7450,11850,2.5906040268456376,-6900.0,0.6424870466321243,,,,3.36배 ," 3,845원"," 3,845원",,-582.0,3.36,3845.0,
더블유에스아이 *,1975.0,65.0,-3.19%,2015.0,2040.0,2316.0,5.0,36240.0,2022-07-12,299170,,,,,,30027963,30027963,87168,0.29%,106.06,+0.26%,코스닥,595,1206,3470,1675,1795,2.071641791044776,-1495.0,0.569164265129683,,,,1.74배 ," 1,137원"," 1,137원",8.57,231.0,1.74,1137.0,
엔지켐생명과학 *,17700.0,650.0,-3.54%,17950.0,18250.0,9839.0,176.0,134865.0,2022-07-12,183490,,,,,,13933768,13933768,1482469,10.64%,106.06,+0.22%,코스닥,2494,306,92426,14850,77576,6.223973063973064,-74726.0,0.19150455499534763,,,,1.14배 ," 15,762원"," 15,762원",,-2408.0,1.14,15762.0,
HLB제약 *,14500.0,650.0,-4.29%,14750.0,14800.0,66838.0,979.0,557586.0,2022-07-12,047920,,,,,,27564264,27564264,132391,0.48%,106.06,+0.22%,코스닥,4107,154,30200,7860,22340,3.842239185750636,-15700.0,0.48013245033112584,,,,5.08배 ," 2,932원"," 2,932원",,-550.0,5.08,2932.0,
